fuente	tema	pregunta_verbatim	url
1doc3 (CO)	salud	trombosis cerebral y ganoderma Lucidum	https://www.1doc3.com/web/ver/278659/trombosis-cerebral-y-ganoderma-lucidum
1doc3 (CO)	salud	¿Qué opinión les merece ingerir Ganoderma para tratar la Gastritis, Divertículo de Zenkel y Hernia de hiato?	https://1doc3.com/web/ver/100691/que-opinion-le-merece-ingerir-ganodermapara-tratar-la-gastritis-diverticulo-de-z
1doc3 (CO)	salud	Buenos días. Me pueden explicar cómo actúa el ganoderma lucidum? Es verdad q actúa contra tumores??	https://www.1doc3.com/web/ver/499075/buenos-dias-me-pueden-explicar-como-actua-el-ganoderma-lucidum-es-verdad-q-act
1doc3 (CO)	salud	Niña de aproximadamente 4 a 6 años con diagnóstico de cáncer de hígado, ¿es posible recetarle consumo de Ganoderma Lucidum?	https://www.1doc3.com/web/ver/139181/en-una-nina-de-aproximadamente-4-a-6-anos-con-diagnostico-de-cancer-de-higado-es
1doc3 (CO)	salud	buenas tardes puedo tomar El Reishi (Ganoderma lucidum), para subir las defensas ? o qu otro medicamento natural me puede servir...o que me aconseja doctor... gracias	https://www.1doc3.com/web/ver/484069/buenas-tardes-puedo-tomar-el-reishi-ganoderma-lucidum-para-subir-las-defensas
1doc3 (CO)	salud	Una persona que haya consumido ganoderma lucidum por varias semanas y a los 6 meses se realiza una prueba de VIH si lo tuviera es posible que salga no reactivo, siéndolo	https://www.1doc3.com/web/ver/241380/una-persona-que-haya-consumido-ganoderma-lucidum-por-varias-semanas-y-a-los-6-me
1doc3 (CO)	salud	Puedo consumir ganoderma lucidum si tuve un injerto de hueso en el calcáneo?	https://www.1doc3.com/web/ver/228666/puedo-consumir-ganoderma-lucidum-si-tuve-un-injerto-de-hueso-en-el-calcaneo-lo-p
1doc3 (CO)	salud	El café ganoderma sirve para adelgazar y como funciona?	https://www.1doc3.com/web/ver/524615/el-cafe-ganoderma-sirve-para-adelgazar-y-como-funciona
1doc3 (CO)	dosis	Me regalaron un frasco de cápsulas de excelcium y se vencen este mes me las puedo tomar	https://1doc3.com/web/ver/241156/me-regalaron-un-frasco-de-capsulas-de-excelcium-y-se-vencen-este-mes-me-las-pued
1doc3 (CO)	efectos	consumir los productos q contenga ganoderma lucidux es malo?	https://www.1doc3.com/web/ver/226028/consumir-los-productos-q-contenga-ganoderma-lucidux-es-malo
1doc3 (CO)	efectos	cordial saludo, puedo tomar ganoderma en cápsulas o café si estoy medicado con duloxetina gracias	https://www.1doc3.com/web/ver/222858/cordial-saludo-puedo-tomar-ganoderma-en-capsulas-o-cafe-si-estoy-medicado-con-du
1doc3 (CO)	efectos	¿Qué consecuencias graves puedo tener al tomar el ganocafé y otros medicamentos homeopáticos?	https://1doc3.com/web/ver/3790/que-consecuencias-graves-puedo-tener-al-tomar-el-gano-cafe-y-otros-medicamento-h
1doc3 (CO)	efectos	Tomo ganoderma lucidum en la presentación de café, pero en algunas ocasiones me genera presión en el brazo izquierdo y las venas se ven brotadas	https://www.1doc3.com/web/ver/21107/vengo-tomando-ganoderma-lucidum-en-la-presentacion-de-cafe-noto-que-al-tomarlo-e
1doc3 (CO)	efectos	La onagra, la ganoderma plus y la clorofila q son productos de tiendas naturales quitan el efecto a lasnpastillas anticonceptivas diane 35??	https://www.1doc3.com/web/ver/291125/la-onagra-la-ganoderma-plus-y-la-clorofila-q-son-productos-de-tiendas-naturales-
1doc3 (CO)	hormonal	Hola , no sé si tienen conocimiento del café gano , es ganoderma hongo , yo me aplicó ciclofem y querría saber si tomarlo alteraría la efectividad de las hormonas , gracias.	https://www.1doc3.com/web/ver/567959/hola-no-se-si-tienen-conocimiento-del-cafe-gano-es-ganoderma-hongo-yo-me-a
1doc3 (CO)	resultados	cafe ganoderma es recomendable	https://1doc3.com/web/ver/326102/cafe-ganoderma-es-recomendable
1doc3 (CO)	resultados	¿Qué tan ciertas son las propiedades curativas del café de ganoderma?	https://1doc3.com/web/ver/19499/que-tan-ciertas-son-las-propiedades-curativas-del-cafe-de-ganoderma
Doctoralia MX	efectos	Hola, buenas noches... ¿El Carbolit tendrá efectos secundarios si decido tomar un té que trae el hongo ganoderma lucidum?	https://www.doctoralia.com.mx/preguntas-respuestas/hola-buenas-noches-el-carbolit-tendra-efectos-secundarios-si-decido-tomar-un-te-que-trae-el-ho
Doctoralia MX	salud	Hace 15 días me quitaron la vesícula puedo tomar café con ganoderma lucidum ?	https://www.doctoralia.com.mx/preguntas-respuestas/hace-15-dias-me-quitaron-la-vesicula-puedo-tomar-cafe-con-ganoderma-lucidum
Rankia	estafa	He buscado en Google y no encuentro mucha información sobre la compañia ni sobre el producto,alguien la conoce o este producto?	https://www.rankia.com/foros/consumo/temas/869246-gano-excel-ganoderma-medicina-milagrosa-estafa
timos.info	comparacion	Y ganó excel?? Que me pueden decir de esta compañía	https://www.timos.info/dxn-o-el-engano-del-cafe-con-ganoderma/
timos.info	efectos	YO PREGUTO CUAL ES LA DIFERENCIA ENTRE TOMAR CAFE NORMAL Y EL DE DXN PORQUE A MI ME PROHIBIERON TOMAR CAFE	https://www.timos.info/dxn-o-el-engano-del-cafe-con-ganoderma/
timos.info	producto	Yo quiero saber cómo es el proceso del molido del producto, yo tengo 5 años de usarlo. Pero me preocupa si lleva algún aditivos para su proceso de molido tan fino, que haga daño a otros órganos del cuerpo.	https://www.timos.info/dxn-o-el-engano-del-cafe-con-ganoderma/
timos.info	estafa	Consumiste ganoderma : Gano café de DNX??, algunos dicen que es una droga peligrosa.	https://www.timos.info/dxn-o-el-engano-del-cafe-con-ganoderma/
queesganodermalucidum	dosis	he comprado el ganodemar en capsula y excellium es para mi mama que sufre de arritmia me podria decir como le podria dar la dosis	https://queesganodermalucidum.wordpress.com/2011/09/15/ganocafe-%C2%BFcomo-y-cuanto-tomar-de-gano-excel/
queesganodermalucidum	niños	hola me gustaria saber de que edad pude consumir un niño ya que el mio es muy delicado de la piel y que tiene un cuadro asmatico tiene 3 años muchas gracias	https://queesganodermalucidum.wordpress.com/2011/09/15/ganocafe-%C2%BFcomo-y-cuanto-tomar-de-gano-excel/
queesganodermalucidum	efectos	estoy consumiendo el gano cafe pero meda una sensacion de asco cuando voy a consumir mis comidas estoy cuidandome con pastillas eso sera malo quisiera un consejo	https://queesganodermalucidum.wordpress.com/2011/09/15/ganocafe-%C2%BFcomo-y-cuanto-tomar-de-gano-excel/
queesganodermalucidum	niños	Hola mi pregunta es cual es la cantidad de Gano café para un niño de 8 años, el padece de muchas alergias y dolor en la rodilla, Gracias.	https://queesganodermalucidum.wordpress.com/2011/09/15/ganocafe-%C2%BFcomo-y-cuanto-tomar-de-gano-excel/
queesganodermalucidum	niños	Mi hijo tiene 3 años y desde los 6 meses le da crisis de asma muy seguido. Me pueden decir si puede tomar este producto y la dosis el pesa 17 kilos , No le afectara en su crecimiento?	https://queesganodermalucidum.wordpress.com/2011/09/15/ganocafe-%C2%BFcomo-y-cuanto-tomar-de-gano-excel/
queesganodermalucidum	dosis	si una persona tiene hernia enguinal que dosis de gano excel debe consumir	https://queesganodermalucidum.wordpress.com/2011/09/15/ganocafe-%C2%BFcomo-y-cuanto-tomar-de-gano-excel/
queesganodermalucidum	efectos	Empese a Consumir gano exel hace cuatro dias empese dos de una y ahora tres pero no me para la diarrea ¿es normal o que debo hacer?	https://queesganodermalucidum.wordpress.com/2011/09/15/ganocafe-%C2%BFcomo-y-cuanto-tomar-de-gano-excel/
queesganodermalucidum	niños	Puedo darle ganoderma excelliun a mi hija de 5 años que cantidad diaria	https://queesganodermalucidum.wordpress.com/2011/08/16/%C2%BFque-es-el-ganoderma-excellium/
queesganodermalucidum	salud	hola a mi hija la dianosticaron con epilepsia a tenido convulsiones ella tiene 17 anos ,le ayudaria tomar excelium? .	https://queesganodermalucidum.wordpress.com/2011/08/16/%C2%BFque-es-el-ganoderma-excellium/
queesganodermalucidum	salud	Mi hija sufre de sindromes convulcivos tonicos estas capsulas le ayudarian a oxigenar el cerebro / Mi pregunta es como se le deben dar?	https://queesganodermalucidum.wordpress.com/2011/08/16/%C2%BFque-es-el-ganoderma-excellium/
queesganodermalucidum	salud	Hola, mas q un comentario me gustaría saber si estas cápsulas pueden ayudar a un paciente con lupus...	https://queesganodermalucidum.wordpress.com/2011/08/16/%C2%BFque-es-el-ganoderma-excellium/
queesganodermalucidum	salud	Buenos días quisiera saber que presentación de Ganoderma podría tomar y como se el consumo para una señora que tiene la glucosa alta	https://queesganodermalucidum.wordpress.com/2011/08/16/%C2%BFque-es-el-ganoderma-excellium/
queesganodermalucidum	salud	Buen dia / Quiero saber si este producto me ayudaria con mi problema de hipolucemia?	https://queesganodermalucidum.wordpress.com/2011/08/16/%C2%BFque-es-el-ganoderma-excellium/
queesganodermalucidum	salud	Hola, quiero saber si el ganoderma ayuda a la enfermedad como el herpes 1...	https://queesganodermalucidum.wordpress.com/2011/08/16/%C2%BFque-es-el-ganoderma-excellium/
queesganodermalucidum	salud	Quisiera saber cual es el producto ganoderma para el colon ???gracias	https://queesganodermalucidum.wordpress.com/2011/08/16/%C2%BFque-es-el-ganoderma-excellium/
queesganodermalucidum	efectos	Quiero saber que tan veraz y eficaz pueden ser las capsulas de Excellium para los efectos colaterales de los medicamentos de control que tienden a causar dependencia	https://queesganodermalucidum.wordpress.com/2011/08/16/%C2%BFque-es-el-ganoderma-excellium/
